"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\auth.css", "PostCSS", 0, 204, 8, 31, 243
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\cadastro.css", "PostCSS", 0, 97, 2, 18, 117
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\carrinho.css", "PostCSS", 0, 208, 7, 38, 253
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\categoria.css", "PostCSS", 0, 250, 6, 47, 303
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\equipamento.css", "PostCSS", 0, 200, 5, 39, 244
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\global.css", "PostCSS", 0, 168, 8, 31, 207
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\home.css", "PostCSS", 0, 107, 4, 19, 130
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\layout.css", "PostCSS", 0, 107, 2, 17, 126
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\pagamento.css", "PostCSS", 0, 271, 10, 54, 335
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\reset.css", "PostCSS", 0, 164, 1, 27, 192
"c:\trabalhos\motor\motortycoon\src\main\resources\static\css\usuario.css", "PostCSS", 0, 336, 8, 62, 406
"c:\trabalhos\motor\motortycoon\src\main\resources\static\js\carrinho.js", "JavaScript", 11, 0, 2, 3, 16
"Total", "-", 11, 2112, 63, 386, 2572
